Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.0.2-172.31.67.104-53-51130-17,172.31.67.104,51130,172.31.0.2,53,17,20/02/2018 02:53:57,315,1,1,36.0,52.0,36.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,279365.0793650793,6349.206349206349,315.0,0.0,315.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3174.6031746031745,3174.6031746031745,36.0,52.0,41.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,62.0,36.0,52.0,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
169.254.169.254-172.31.64.114-80-52183-6,172.31.64.114,52183,169.254.169.254,80,6,20/02/2018 03:23:26,95,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21052.631578947367,95.0,0.0,95.0,95.0,95.0,95.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,21052.631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.64.11-104.31.85.81-50199-443-6,172.31.64.11,50199,104.31.85.81,443,6,20/02/2018 09:10:31,116723460,13,13,589.0,4913.0,189.0,0.0,45.30769230769231,67.50849899010818,1460.0,0.0,377.9230769230769,620.5401493240199,47.13705368226747,0.2227487087857059,4668938.399999999,16102238.691826446,58389204.0,1.0,116723460.0,9726954.999999998,22641573.260108527,58446268.0,34.0,116645895.0,9720491.25,22653300.04236804,58406059.0,1.0,0,0,0,0,272,272,0.1113743543928529,0.1113743543928529,0.0,1460.0,203.77777777777783,457.3235963679022,209144.871794872,0,0,1,1,0,0,0,1,1.0,211.6153846153846,45.30769230769231,377.9230769230769,0,0,0,0,0,0,13,589,13,4913,8192,31,6,20,152271.5,105400.6296968856,226801.0,77742.0,58170577.0,309185.2685009427,58389204.0,57951950.0,Benign
172.31.64.99-119.40.99.2-445-38623-6,119.40.99.2,38623,172.31.64.99,445,6,20/02/2018 05:20:39,222451,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.981488058044242,74150.33333333334,128343.8198797797,222349.0,1.0,222451.0,111225.5,157295.1963681663,222450.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,13.48611604353318,4.4953720145110605,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.64.83-216.58.198.66-50252-443-6,216.58.198.66,443,172.31.64.83,50252,6,20/02/2018 09:31:10,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,176,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.67.80-53-51042-17,172.31.67.80,51042,172.31.0.2,53,17,20/02/2018 10:17:43,982,1,1,30.0,119.0,30.0,30.0,30.0,0.0,119.0,119.0,119.0,0.0,151731.16089613034,2036.6598778004072,982.0,0.0,982.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1018.3299389002036,1018.3299389002036,30.0,119.0,59.66666666666667,51.3841739578767,2640.333333333333,0,0,0,0,0,0,0,0,1.0,89.5,30.0,119.0,0,0,0,0,0,0,1,30,1,119,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.69.25-18.218.115.60-80-63077-6,18.218.115.60,63077,172.31.69.25,80,6,20/02/2018 10:41:38,12116880,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165058992,12100000.0,0.0,12100000.0,12100000.0,12100000.0,12100000.0,0.0,12100000.0,12100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.165058992,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,12100000.0,0.0,12100000.0,12100000.0,DDoS attacks-LOIC-HTTP
172.31.65.14-114.7.18.163-445-52951-6,114.7.18.163,52951,172.31.65.14,445,6,20/02/2018 04:59:42,308498,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.966048402258686,102832.66666666666,176996.05511517293,307209.0,62.0,308498.0,154249.0,216405.78774145572,307271.0,1227.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,9.724536301694014,3.2415121005646714,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.66.48-53-54357-17,172.31.66.48,54357,172.31.0.2,53,17,20/02/2018 03:41:22,259,1,1,40.0,56.0,40.0,40.0,40.0,0.0,56.0,56.0,56.0,0.0,370656.37065637065,7722.007722007722,259.0,0.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3861.003861003861,3861.003861003861,40.0,56.0,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,68.0,40.0,56.0,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.66.119-8.43.72.52-51493-443-6,8.43.72.52,443,172.31.66.119,51493,6,20/02/2018 11:10:09,6770,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.4209748892171,6770.0,0.0,6770.0,6770.0,6770.0,6770.0,0.0,6770.0,6770.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,295.4209748892171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,28408,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.64.16-53-52775-17,172.31.64.16,52775,172.31.0.2,53,17,20/02/2018 03:52:41,36633,2,2,56.0,88.0,28.0,28.0,28.0,0.0,44.0,44.0,44.0,0.0,3930.881991646876,109.19116643463543,12211.0,12490.303599192455,25009.0,53.0,25009.0,25009.0,0.0,25009.0,25009.0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,16,16,54.59558321731772,54.59558321731772,28.0,44.0,34.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,43.0,28.0,44.0,0,0,0,0,0,0,2,56,2,88,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.64.120-31.207.47.93-3389-53008-6,31.207.47.93,53008,172.31.64.120,3389,6,20/02/2018 04:58:46,4394793,14,9,1460.0,1731.0,741.0,0.0,104.28571428571428,195.0906805215811,1179.0,0.0,192.33333333333331,386.0744746807279,726.0865301278126,5.233466058583419,199763.31818181815,249732.69427747023,951646.0,25.0,4394793.0,338061.0,320822.9977729153,1206656.0,89901.0,4204354.0,525544.2500000001,338826.7377557656,951646.0,77978.0,0,0,0,0,292,192,3.1855880356594724,2.0478780229239466,0.0,1179.0,132.95833333333334,275.6911440073075,76005.60688405798,0,0,1,1,0,0,0,1,0.0,138.7391304347826,104.28571428571428,192.33333333333331,0,0,0,0,0,0,14,1460,9,1731,8192,64000,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.69.25-18.216.200.189-80-49174-6,18.216.200.189,49174,172.31.69.25,80,6,20/02/2018 10:44:43,37027975,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054013216,37000000.0,0.0,37000000.0,37000000.0,37000000.0,37000000.0,0.0,37000000.0,37000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.054013216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,37000000.0,0.0,37000000.0,37000000.0,DDoS attacks-LOIC-HTTP
172.31.0.2-172.31.64.33-53-59941-17,172.31.64.33,59941,172.31.0.2,53,17,20/02/2018 05:29:46,95881,2,2,116.0,288.0,58.0,58.0,58.0,0.0,144.0,144.0,144.0,0.0,4213.556387605469,41.71838007530168,31960.333333333336,33461.016965019655,66744.0,1.0,29136.0,29136.0,0.0,29136.0,29136.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,20.85919003765084,20.85919003765084,58.0,144.0,92.4,47.10413994544429,2218.8,0,0,0,0,0,0,0,0,1.0,115.5,58.0,144.0,0,0,0,0,0,0,2,116,2,288,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.65.86-53-55549-17,172.31.65.86,55549,172.31.0.2,53,17,20/02/2018 12:04:43,90248,2,2,56.0,226.0,28.0,28.0,28.0,0.0,113.0,113.0,113.0,0.0,3124.7229855509263,44.32231185178619,30082.666666666664,35630.84520935945,69443.0,28.0,69443.0,69443.0,0.0,69443.0,69443.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,16,16,22.16115592589309,22.16115592589309,28.0,113.0,62.0,46.55641738793912,2167.5,0,0,0,0,0,0,0,0,1.0,77.5,28.0,113.0,0,0,0,0,0,0,2,56,2,226,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.68.20-123.231.247.130-445-24704-6,123.231.247.130,24704,172.31.68.20,445,6,20/02/2018 03:23:14,780006,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,584.6108876085568,11.538372781747832,97500.75,134402.41122810473,259966.0,5.0,779948.0,194987.0,129988.00378752904,260025.0,5.0,779947.0,259982.3333333333,290.95933278266455,260309.0,259751.0,0,0,0,0,112,92,6.410207100971018,5.128165680776815,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,0,1,0,0,0,0,0.0,50.66666666666666,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.66.120-96.231.60.219-3389-60980-6,96.231.60.219,60980,172.31.66.120,3389,6,20/02/2018 02:42:59,3433165,9,7,1148.0,1581.0,677.0,0.0,127.55555555555556,218.69105555046775,1173.0,0.0,225.8571428571429,430.0986044197418,794.8933418580232,4.660422671208638,228877.6666666667,526871.372069891,1919372.0,3.0,3433165.0,429145.625,692974.4205732556,1919372.0,3.0,3398163.0,566360.5,812775.6087114697,2061760.0,61270.0,0,0,0,0,192,152,2.6214877525548586,2.038934918653778,0.0,1173.0,160.5294117647059,312.04409096453395,97371.51470588232,0,0,1,1,0,0,0,1,0.0,170.5625,127.55555555555556,225.8571428571429,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
169.254.169.254-172.31.64.31-80-51941-6,172.31.64.31,51941,169.254.169.254,80,6,20/02/2018 05:26:49,82,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24390.243902439022,82.0,0.0,82.0,82.0,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.69.25-52.14.136.135-80-57441-6,52.14.136.135,57441,172.31.69.25,80,6,20/02/2018 10:27:30,12930567,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154672258,12900000.0,0.0,12900000.0,12900000.0,12900000.0,12900000.0,0.0,12900000.0,12900000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.154672258,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,12900000.0,0.0,12900000.0,12900000.0,DDoS attacks-LOIC-HTTP
172.31.0.2-172.31.66.81-53-54398-17,172.31.66.81,54398,172.31.0.2,53,17,20/02/2018 01:07:35,364,1,1,42.0,58.0,42.0,42.0,42.0,0.0,58.0,58.0,58.0,0.0,274725.2747252747,5494.505494505494,364.0,0.0,364.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2747.252747252747,2747.252747252747,42.0,58.0,47.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,71.0,42.0,58.0,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.65.49-52.38.149.111-51722-443-6,172.31.65.49,51722,52.38.149.111,443,6,20/02/2018 04:53:50,119535907,19,21,543.0,3465.0,207.0,0.0,28.57894736842105,67.99372176039792,1460.0,0.0,165.0,434.7159992454844,33.52967405852369,0.3346274856140088,3065023.256410256,4600716.226071264,10007342.0,1.0,119535907.0,6640883.722222222,4799159.793811153,10078018.0,302.0,119465067.0,5973253.35,4987773.993207373,10078114.0,1.0,0,0,0,0,392,424,0.1589480556666542,0.1756794299473546,0.0,1460.0,97.75609756097565,318.5205472562018,101455.33902439024,0,0,0,1,0,0,0,0,1.0,100.2,28.57894736842105,165.0,0,0,0,0,0,0,19,543,21,3465,8192,64240,13,20,90062.75,77171.15204898901,333492.0,39901.0,9871251.166666666,349105.2372774077,10007342.0,8811036.0,Benign
172.31.67.120-64.30.228.118-52068-443-6,172.31.67.120,52068,64.30.228.118,443,6,20/02/2018 11:56:16,128351,3,3,194.0,7.0,194.0,0.0,64.66666666666667,112.0059522227874,7.0,0.0,2.333333333333333,4.041451884327381,1566.018184509665,46.74681147790045,25670.2,35022.76256522321,64306.0,1.0,64586.0,32293.0,45319.8878198082,64339.0,247.0,64045.0,32022.5,45285.239587530064,64044.0,1.0,0,0,0,0,72,64,23.373405738950225,23.373405738950225,0.0,194.0,28.714285714285715,72.93082175530975,5318.904761904762,0,0,1,1,0,0,0,1,1.0,33.5,64.66666666666667,2.333333333333333,0,0,0,0,0,0,3,194,3,7,8192,9811,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.66.34-53-65384-17,172.31.66.34,65384,172.31.0.2,53,17,20/02/2018 12:19:16,492,1,1,43.0,59.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,207317.0731707317,4065.040650406504,492.0,0.0,492.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2032.520325203252,2032.520325203252,43.0,59.0,48.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,72.5,43.0,59.0,0,0,0,0,0,0,1,43,1,59,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.66.98-53-58850-17,172.31.66.98,58850,172.31.0.2,53,17,20/02/2018 05:29:47,1310,1,1,44.0,72.0,44.0,44.0,44.0,0.0,72.0,72.0,72.0,0.0,88549.6183206107,1526.7175572519084,1310.0,0.0,1310.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,763.3587786259542,763.3587786259542,44.0,72.0,53.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,1.0,80.0,44.0,72.0,0,0,0,0,0,0,1,44,1,72,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.67.67-53-58332-17,172.31.67.67,58332,172.31.0.2,53,17,20/02/2018 04:10:50,980,1,1,41.0,101.0,41.0,41.0,41.0,0.0,101.0,101.0,101.0,0.0,144897.95918367346,2040.8163265306123,980.0,0.0,980.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1020.408163265306,1020.408163265306,41.0,101.0,61.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1.0,91.5,41.0,101.0,0,0,0,0,0,0,1,41,1,101,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
